path,final_path,source,status,issues,baseline_title,local_title,local_canonical,expected_canonical,local_h1,baseline_h1,jsonld_types
"/","/","gsc_top","200","OK","Končar Elektro - Prodaja alata i mašina renomiranih brendova","Končar Elektro - Prodaja alata i mašina renomiranih brendova","https://koncarelektro.rs/","https://koncarelektro.rs/","","","Organization+WebSite"
"/proizvodjac/ingco/page/3","/proizvodjac/ingco/page/3","gsc_top","200","OK","","Ingco - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/proizvodjac/ingco/page/3/","https://koncarelektro.rs/proizvodjac/ingco/page/3/","Ingco","","Organization+WebSite"
"/proizvodjac/ingco","/proizvodjac/ingco","sample_taxonomy","200","OK","INGCO - SUPER INGCO alati – Najpovoljnije cene | Končar Elektro -trgovina električnog, ručnog alata ","INGCO - SUPER INGCO alati – Najpovoljnije cene | Končar Elektro -trgovina električnog, ručnog alata ","https://koncarelektro.rs/proizvodjac/ingco/","https://koncarelektro.rs/proizvodjac/ingco/","Ingco","INGCO - SUPER INGCO","Organization+WebSite"
"/product-category/pumpe-za-vodu/elekticne-pumpe","/product-category/pumpe-za-vodu/elekticne-pumpe","gsc_top","200","OK","Elektične pumpe - Končar Elektro -trgovina električnog, ručnog alata i pribora","Elektične pumpe - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/product-category/pumpe-za-vodu/elekticne-pumpe/","https://koncarelektro.rs/product-category/pumpe-za-vodu/elekticne-pumpe/","","Elektične pumpe","BreadcrumbList+Organization+WebSite"
"/politika-privatnosti","/politika-privatnosti","gsc_top","200","OK","Politika privatnosti - Končar Elektro -trgovina električnog, ručnog alata i pribora","Politika privatnosti - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/politika-privatnosti/","https://koncarelektro.rs/politika-privatnosti/","Politika privatnosti","Politika privatnosti","Organization+WebSite"
"/product-category/aparati-za-varenje/inverterski-aparati","/product-category/aparati-za-varenje/inverterski-aparati","gsc_top","200","OK","Inverterski aparati - Končar Elektro -trgovina električnog, ručnog alata i pribora","Inverterski aparati - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/product-category/aparati-za-varenje/inverterski-aparati/","https://koncarelektro.rs/product-category/aparati-za-varenje/inverterski-aparati/","INVERTERSKI APARATI","Inverterski aparati","BreadcrumbList+Organization+WebSite"
"/prodavnica/kosacice-i-trimeri/samohodna-motorna-kosacica-wr65355abk-7hp-adk","/prodavnica/kosacice-i-trimeri/samohodna-motorna-kosacica-wr65355abk-7hp-adk","gsc_top","200","OK","WR65355ABK Samohodna motorna kosačica 7HP ADK","WR65355ABK Samohodna motorna kosačica 7HP ADK","https://koncarelektro.rs/prodavnica/kosacice-i-trimeri/samohodna-motorna-kosacica-wr65355abk-7hp-adk/","https://koncarelektro.rs/prodavnica/kosacice-i-trimeri/samohodna-motorna-kosacica-wr65355abk-7hp-adk/","","Samohodna motorna kosačica WR65355ABK 7HP (29989) ADK","Organization+WebSite"
"/product-category/agregati/dizel-agregati","/product-category/agregati/dizel-agregati","gsc_top","200","OK","Dizel Agregati - Končar Elektro -trgovina električnog, ručnog alata i pribora","Dizel Agregati - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/product-category/agregati/dizel-agregati/","https://koncarelektro.rs/product-category/agregati/dizel-agregati/","DIZEL AGREGATI","Dizel Agregati","BreadcrumbList+Organization+WebSite"
"/product-category/agregati/inverterski-agregati","/product-category/agregati/inverterski-agregati","gsc_top","200","OK","Inverterski agregati - Končar Elektro -trgovina električnog, ručnog alata i pribora","Inverterski agregati - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/product-category/agregati/inverterski-agregati/","https://koncarelektro.rs/product-category/agregati/inverterski-agregati/","INVERTERSKI AGREGATI","Inverterski agregati","BreadcrumbList+Organization+WebSite"
"/prodavnica/ads/akumulatorski-trimer-za-travu-cstli202522","/prodavnica/ads/akumulatorski-trimer-za-travu-cstli202522","gsc_top","200","OK","Akumulatorski trimer za travu CSTLI202522 INGCO cena | Kupovina online - Končar Elektro -trgovina el","Akumulatorski trimer za travu CSTLI202522 INGCO cena | Kupovina online - Končar Elektro -trgovina el","https://koncarelektro.rs/prodavnica/ads/akumulatorski-trimer-za-travu-cstli202522/","https://koncarelektro.rs/prodavnica/ads/akumulatorski-trimer-za-travu-cstli202522/","","Akumulatorski trimer za travu CSTLI202522 INGCO","Organization+WebSite"
"/prodavnica/kosacice-i-trimeri/motorni-trimer-za-travu-gtb530ku-272-ks-kawasaki-32830-adk","/prodavnica/kosacice-i-trimeri/motorni-trimer-za-travu-gtb530ku-272-ks-kawasaki-32830-adk","gsc_top","200","OK","GTB530KU Motorni trimer za travu 2,72 KS Kawasaki (32830) ADK","GTB530KU Motorni trimer za travu 2,72 KS Kawasaki (32830) ADK","https://koncarelektro.rs/prodavnica/kosacice-i-trimeri/motorni-trimer-za-travu-gtb530ku-272-ks-kawasaki-32830-adk/","https://koncarelektro.rs/prodavnica/kosacice-i-trimeri/motorni-trimer-za-travu-gtb530ku-272-ks-kawasaki-32830-adk/","Motorni trimer za travu GTB530KU 2,72 KS Kawasaki (32830) ADK","Motorni trimer za travu GTB530KU 2,72 KS Kawasaki (32830) ADK","BreadcrumbList+Organization+Product+WebSite"
"/proizvodi","/proizvodi","gsc_top","200","OK","Proizvodi cena | Kupovina online - Končar Elektro -trgovina električnog, ručnog alata i pribora","Proizvodi cena | Kupovina online - Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/proizvodi/","https://koncarelektro.rs/proizvodi/","ALATI","Proizvodi","Organization+WebSite"
"/prodavnica/ponuda/kolica-sa-alatom-htcs273281-328kom-super-ingco","/prodavnica/ponuda/kolica-sa-alatom-htcs273281-328kom-super-ingco","gsc_top","200","OK","HTCS273281 Kolica sa alatom 328kom. SUPER INGCO","HTCS273281 Kolica sa alatom 328kom. SUPER INGCO","https://koncarelektro.rs/prodavnica/ponuda/kolica-sa-alatom-htcs273281-328kom-super-ingco/","https://koncarelektro.rs/prodavnica/ponuda/kolica-sa-alatom-htcs273281-328kom-super-ingco/","Kolica sa alatom HTCS273281 328kom. SUPER INGCO","Kolica sa alatom HTCS273281 328kom. SUPER INGCO","BreadcrumbList+Organization+Product+WebSite"
"/product-category/agregati","/product-category/agregati","gsc_top","200","OK","Agregati za struju | Benzinski i dizel |Agregati - Končar Elektro -trgovina električnog, ručnog alat","Agregati za struju | Benzinski i dizel |Agregati - Končar Elektro -trgovina električnog, ručnog alat","https://koncarelektro.rs/product-category/agregati/","https://koncarelektro.rs/product-category/agregati/","MAŠINE I OPREMA","Agregati za struju – Benzinski i dizel agregati | Končar Elektro Leskovac","BreadcrumbList+Organization+WebSite"
"/proizvodjac/adk","/proizvodjac/adk","gsc_top","200","OK","ADK alati – Najpovoljnije cene | Končar Elektro -trgovina električnog, ručnog alata i pribora","ADK alati – Najpovoljnije cene | Končar Elektro -trgovina električnog, ručnog alata i pribora","https://koncarelektro.rs/proizvodjac/adk/","https://koncarelektro.rs/proizvodjac/adk/","Adk","ADK","Organization+WebSite"
"/prodavnica/ponuda/inverterski-mma-aparat-za-varenje-ing-mma20069e-200a-super-ingco","/prodavnica/ponuda/inverterski-mma-aparat-za-varenje-ing-mma20069e-200a-super-ingco","gsc_top","200","OK","ING-MMA20069E Inverterski MMA aparat za varenje 200A","ING-MMA20069E Inverterski MMA aparat za varenje 200A","https://koncarelektro.rs/prodavnica/ponuda/inverterski-mma-aparat-za-varenje-ing-mma20069e-200a-super-ingco/","https://koncarelektro.rs/prodavnica/ponuda/inverterski-mma-aparat-za-varenje-ing-mma20069e-200a-super-ingco/","Inverterski MMA aparat za varenje ING-MMA20069E 200A SUPER INGCO","Inverterski MMA aparat za varenje ING-MMA20069E 200A SUPER INGCO","BreadcrumbList+Organization+Product+WebSite"
