Date,Clicks,Impressions,CTR,Position
2026-04-07,191,2544,7.51%,7.9
2026-04-08,212,3322,6.38%,8
2026-04-09,339,21489,1.58%,9
2026-04-10,416,41837,0.99%,9.1
2026-04-11,155,3827,4.05%,8.7
2026-04-12,107,1615,6.63%,9.6
2026-04-13,145,1887,7.68%,8.7
2026-04-14,198,2626,7.54%,7.4
2026-04-15,166,2563,6.48%,9.7
2026-04-16,164,2578,6.36%,10.2
2026-04-17,171,2616,6.54%,11
2026-04-18,142,2237,6.35%,10.6
2026-04-19,152,2534,6%,9
2026-04-20,238,3934,6.05%,9.9
2026-04-21,251,3521,7.13%,8.6
2026-04-22,204,3297,6.19%,8.6
2026-04-23,210,3471,6.05%,10.8
2026-04-24,203,3046,6.66%,8.8
2026-04-25,210,3420,6.14%,8.6
2026-04-26,234,3832,6.11%,7.9
2026-04-27,281,4868,5.77%,7.7
2026-04-28,269,4865,5.53%,8.1
2026-04-29,321,4711,6.81%,7.9
2026-04-30,249,3981,6.25%,9
2026-05-01,212,3419,6.2%,8.2
2026-05-02,250,4027,6.21%,9.9
2026-05-03,260,4520,5.75%,7.2
2026-05-04,282,4903,5.75%,8.5
2026-05-05,276,4702,5.87%,7.8
2026-05-06,258,4565,5.65%,7.8
2026-05-07,298,5041,5.91%,8.8
2026-05-08,293,4897,5.98%,7.6
2026-05-09,244,4447,5.49%,7.6
2026-05-10,257,4523,5.68%,7.7
2026-05-11,355,5595,6.34%,7.3
2026-05-12,359,5989,5.99%,7.4
2026-05-13,347,5527,6.28%,7.5
2026-05-14,290,5476,5.3%,7.5
2026-05-15,297,5409,5.49%,7
2026-05-16,301,4986,6.04%,7.2
2026-05-17,295,5342,5.52%,7.3
2026-05-18,293,5246,5.59%,7.6
2026-05-19,298,5206,5.72%,7.5
2026-05-20,272,5162,5.27%,7.9
2026-05-21,287,5200,5.52%,9.2
2026-05-22,242,4637,5.22%,8.3
2026-05-23,210,3925,5.35%,8.1
2026-05-24,220,4448,4.95%,8.4
2026-05-25,312,5448,5.73%,7.6
2026-05-26,276,5368,5.14%,8.1
2026-05-27,293,5496,5.33%,8.3
2026-05-28,291,5158,5.64%,8.9
2026-05-29,247,4674,5.28%,7.8
2026-05-30,237,3928,6.03%,7.6
2026-05-31,232,4508,5.15%,8.3
2026-06-01,283,5869,4.82%,9.1
2026-06-02,286,5798,4.93%,7.6
2026-06-03,256,5500,4.65%,7.9
2026-06-04,279,5483,5.09%,8.5
2026-06-05,231,4832,4.78%,7.4
2026-06-06,197,4557,4.32%,8.6
2026-06-07,243,4637,5.24%,8.1
2026-06-08,279,6006,4.65%,8
2026-06-09,263,5828,4.51%,8.2
2026-06-10,261,5435,4.8%,7.8
2026-06-11,270,5752,4.69%,8.3
2026-06-12,246,5161,4.77%,7.7
2026-06-13,195,4250,4.59%,8.4
2026-06-14,238,4716,5.05%,8.5
2026-06-15,319,5991,5.32%,8
2026-06-16,286,6015,4.75%,8.6
2026-06-17,278,5479,5.07%,8.1
2026-06-18,267,5656,4.72%,9.1
2026-06-19,257,5338,4.81%,7.3
2026-06-20,163,4382,3.72%,8
