Country,Clicks,Impressions,CTR,Position
Serbia,17531,304560,5.76%,7.4
Indonesia,459,61849,0.74%,9.19
Montenegro,232,4047,5.73%,7.41
Bosnia & Herzegovina,178,2731,6.52%,9.81
Croatia,111,2453,4.53%,19.95
Germany,65,1736,3.74%,12.28
Macedonia,65,1244,5.23%,11.44
Austria,42,836,5.02%,8.05
Switzerland,33,333,9.91%,7.61
Kosovo,26,512,5.08%,7.07
Slovenia,23,800,2.88%,25.96
Cambodia,14,163,8.59%,10.5
France,10,275,3.64%,11.99
Greece,10,223,4.48%,12.08
Sweden,9,237,3.8%,17.35
Italy,8,337,2.37%,13.35
Netherlands,7,371,1.89%,14.46
Albania,7,94,7.45%,7.97
United States,5,2981,0.17%,9.21
Russia,5,390,1.28%,37.24
Slovakia,5,112,4.46%,16.28
Romania,4,466,0.86%,33.87
United Kingdom,4,216,1.85%,21.13
Hungary,3,157,1.91%,15.07
Turkey,3,126,2.38%,18.02
Japan,3,122,2.46%,28.51
Norway,3,82,3.66%,12.39
Latvia,3,37,8.11%,27.62
United Arab Emirates,3,35,8.57%,26.49
Bulgaria,2,373,0.54%,37.06
Spain,2,252,0.79%,23.86
Czechia,2,133,1.5%,15.67
Belgium,2,78,2.56%,8.99
Lithuania,2,74,2.7%,27.38
China,2,53,3.77%,11.3
Algeria,2,53,3.77%,35.23
Denmark,2,50,4%,14.94
Singapore,2,39,5.13%,26.64
Hong Kong,2,33,6.06%,19.18
Malta,2,29,6.9%,11.48
India,1,591,0.17%,38.03
Poland,1,196,0.51%,26.15
Ukraine,1,171,0.58%,43.36
Canada,1,164,0.61%,14.14
Mexico,1,161,0.62%,34.95
South Africa,1,65,1.54%,30.83
Colombia,1,65,1.54%,36.6
Finland,1,52,1.92%,24.21
Israel,1,40,2.5%,25.88
Iran,1,19,5.26%,11.58
Nigeria,1,19,5.26%,30.74
Tunisia,1,18,5.56%,21.83
Cyprus,1,14,7.14%,8
Iraq,1,14,7.14%,15.07
Lebanon,1,6,16.67%,9.5
